anon_id,orig_review_id,service,platform,rating,review_date,app_version,sentiment,themes,review_text,listing_url,accessed_at_kst
WS3-TO-061,14195927049,토스증권(토스 앱 내),애플앱스토어(KR),2,2026-06-17,5.264.0,부정(1-2성),C2,[토스증권 단타치기 편하게 좀] 단타치기 넘 불편해요 안팔려서 대기로 넘어가면 수정 못함 토스 직원들 밤새서 일하느라 이런건 모르나봄 ㅜ 다른 증권사에는 기능 있는데 좀 수정해주쇼,https://apps.apple.com/kr/app/id839333328,2026-07-16
WS3-TO-063,74f418c4-597a-483a-9612-198ca3cf3800,토스증권(토스 앱 내),구글플레이(KR),1,2026-06-30,5.266.0,부정(1-2성),C1;C2,토스증권 매수매도 안되서 잃으면 책임지나요? 매번이런일자주있는데? 소액이면 그나마괜찮은데 크게하시는분들은 틱에 몇십 몇백잃으시던데 렉때문에 매도매수못하면 어떡하나요?한두사람이그런게아니라 대다수가그런데,https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-064,13b29c04-a361-45bf-8a6a-835e75f2801c,토스증권(토스 앱 내),구글플레이(KR),3,2026-06-21,5.264.0,중립(3성),C2,"다 좋은데, 주식 거래 시간이 너무 오래 걸립니다. 주문 대기중 상태에서 가격, 시간, 수량순으로 우선 배정되는 건 알겠으나 매수나 매매할때 비공개인 상태로 시간이 오래 걸리는 것은 잘 이해가 안 됩니다. 리뷰를 보니 이용자들의 불만도 상당한 듯 합니다.. 대기번호를 알리는 방식이나 잔여 대기 시간 공개 등의 시스템 개선이 필요해보입니다. 주식 특성상 1분 1초가 급한데, 시간 지연이 너무 크면 경쟁 증권사 프리미엄으로 이어집니다. 이외에는 잘 쓰고 있습니다.",https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-066,3fd89b01-ed6a-453e-8870-3becf926d783,토스증권(토스 앱 내),구글플레이(KR),1,2026-05-09,5.258.1,부정(1-2성),C2;C8,주식 거래하려니까 주문을 넣어도 렉 때문에 안팔리고 주문 씹히고 뭐하는건가요? 사용자가 악용해서 돈 벌었으면 기가막히게 막았을텐데 어닝콜도 제대로 안하고 미수거래를 단순히 빌려주는 돈으로 치부하고 자기들 유리하게는 말 잘하면서 불리하면 입 싹 닫나요?,https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-067,76758a71-1a82-479a-914a-bb1a112fb93c,토스증권(토스 앱 내),구글플레이(KR),4,2025-12-28,5.242.3,긍정(4-5성),C2;C12,그 미국주식할때 시장가로 예약매도 했는데 체결이 안되어서 손절시 수동으로해야해 잠도 못자고 너무 괴롭습니다. 손실금도 더 커지고 그러니까 조속히 해결해주시면 감사하겠습니다. 토스증권으로 바꾸고 꾸준히 소액이지만 수익중이라서 감사드려요. 위의 사항만 해결해주시면 전혀 불만없으니 답글이랑 업데이트 바랍니다.,https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-068,4806e78f-68ce-44d9-b482-46659dca1d65,토스증권(토스 앱 내),구글플레이(KR),5,2025-04-16,미상,긍정(4-5성),C13;C3,"안녕하세요. 토스증권을 편리하게 잘 이용하고 있는 이용자입니다. 현재 소수점 주식은 지정가 매수나 매도가 불가능해 계획적인 분할 매수, 익절 전략 등에 제약이 있어 아쉬움이 큽니다. 특히 리밸런싱이 필요한 시점에서 소수점 매도가 지원되지 않는 점은 투자 효율성을 떨어뜨리는 요소로 느껴집니다. 향후 소수점 매도 및 지정가 주문 기능도 제공될 수 있도록 적극 검토 부탁드립니다. 감사합니다.",https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-069,51fbc6dc-7fc7-48e0-901d-770aa32fa59f,토스증권(토스 앱 내),구글플레이(KR),5,2026-06-09,5.263.1,긍정(4-5성),C4;C12,"며칠전 토스 증권의 뉴스, 커뮤니티 글 등의 알림은 오는데 지정가 알림, 가격변동 알림이 오지않는다고 글을 남겼었습니다. 이전에 가격 변동 알림이 많이 오니 신경이 쓰여서 알림이 오지 않도록 껐다가, 결국은 다시 다 켰었는데 알림이 오지 않더라구요. 관심주식에 하트, 알림 아이콘도 활성화 되어있고 토스 증권 탭-알림 설정에서 모든결 켜놓았는데도 안와서 열심히 뒤적거리다보니, 토스의 메인 홈 탭-알림설정-더보기-꺼진알람 모두보기에서 숨기기 취소(?)를 하는 방법으로 해결하였습니다. 뭔가 토스 증권 탭 알림 설정 자체에서도 설정이 쉽게, 찾기 쉽게 개선이 되면 좋을 것 같아 글을 남깁니다! 글로 써서 잘 전달이 될지 모르겠네요 ㅠ.ㅠ 직관적이고 정보가 쏙쏙 들어오는 UI의 토스 최고입니다!!",https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-071,92c65f85-a008-475c-92f0-07b4a77ce1e5,토스증권(토스 앱 내),구글플레이(KR),5,2026-02-25,5.248.1,긍정(4-5성),C12;C6,"2022년부터 토스증권 함 , 토스증권 출금완료 뜬뒤 출금해야 미수 안남 주식 수수료 0.5% 거래세 0.5% / ndaq , spgi 두종목 사면 미국주식 전종목 사면서 알아서 위험관리도 다 되고 평생 우상향임 (미국주식 세금 25%) / 미국주식 데이장/애프터장/프리장까지 24시간 거래됨 / WeBull APP으로 마켓 섹터를 봐서 플러스 높은 섹터본뒤 정배열 차트에 오르는 주식 개별주 몇개 분산 장기투자 / 토스증권 복기 결과 내가 미국주식으로 잃는 이유 = 오르다가 떨어질것만 사서. 오를것만 사면 다 수익남 / 2019년 코로나19 폭락장 - 2022년 금리인상 및 우크라이나 전쟁 폭락장 - 2025년 ai버블 폭락장... 3년주기로 폭락장 옴 / 40% 이상 폭등한 주식은 금방 폭락함 / 애플->테슬라->팔란티어->패스틀리...전부 다 NYSE 상장했다가 NASDAQ으로 이전 상장됨",https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-073,23a6e096-a7ee-4d4e-a4bb-b7ebce9b516b,토스증권(토스 앱 내),구글플레이(KR),5,2025-09-26,5.230.0,긍정(4-5성),C4;C12,"편하게 잘 쓰고 있습니다! 다만, 주식 쪽에 분기별로든 연도 별로든 금액 변동을 볼 수 있는 기능도 있으면 좋을것 같아요. 팔지 않으면 수익으로 잡히지 않다보니, 따로 기록하지 않으면 특정기간에 투자 성적을 알기가 어렵더라구요.. 내가 잘 투자 하고 있는지가 판단하기 어려웠어요.",https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-076,72f1b1f4-6edc-44ce-8950-f1e2c0e54001,토스증권(토스 앱 내),구글플레이(KR),5,2026-06-12,5.263.1,긍정(4-5성),C12,제가 토스로 처음 주식을 시작했는데 보기가 너무 편해서 생각보다 쉬었던거 같고 좋습니다. 그리고 다른 송금이나 이런거 에서도 수수료 없는게 너무 좋습니다. 근데 포인트 미션은 않하는게 더 좋을 정도로 별로에요.,https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-079,4ae8477b-77d8-46e0-b5b5-2bb95abfcd03,토스증권(토스 앱 내),구글플레이(KR),5,2025-12-27,5.242.3,긍정(4-5성),C12,"수수료 무료부터 여러가지 기능들과 쇼핑까지... 그냥 완벽하지만 그중에서도 모의주식투자 기능이 진짜 좋은 거 같아요. 실제로 있는 기업들만 모아놓고 간단한 회사 소개부터 실시간 주가 변경, 시장 시간도 현실과 같은 디테일까지... 처음 주식에 투자하는 사람은 쓰기 정말 편리하게 만든 것 같습니다. 정말 만족합니다.",https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-081,5fa2e0af-ccb0-49ab-a680-b6d7c8bc4daf,토스증권(토스 앱 내),구글플레이(KR),5,2025-04-17,5.207.2,긍정(4-5성),C12;C13,처음 토스증권으로 시작한 주식 잘하고있습니다 하지만 사용하는도중 조금 불편한 점이 있는데요 미국주식중 몇십원씩 하는 주식들은 0.00x달러차이도 가격 변동성이 큰데 알람을 받을때 최소단위가 0.001이라 알람을 받을때 받지못하는 경우가 있습니다 이런경우 달러가격으로도 알람을 받을수있게 해주시면 정말 토스증권을 이용하는데 도움이될것 같습니다,https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-085,a37c8421-563f-40fc-9b1c-5ecadf9b04e5,토스증권(토스 앱 내),구글플레이(KR),5,2026-07-08,5.267.1,긍정(4-5성),C12;C13,토스 증권 부분 너무 편해서 사용하기 좋습니다 요새 pc로도 보기 시작했는데요 모바일과 동일한 그래프를 pc에서도 표시 해주실 수 없는지 여쭤봅니다 물론 자세한 부분을 보는것은 현 pc부분이 옳겠으나 저같은 주린이에겐 너무 어렵네요 모바일 부분이 당일 추이를 보기에 너무 잘 되어 있어 모바일 그래프도 pc에서 볼수 있으면 더할 나위 없을듯 합니다,https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
WS3-TO-086,f53eaa95-9a31-4976-934a-bd536d7767a9,토스증권(토스 앱 내),구글플레이(KR),4,2026-06-06,5.262.0,긍정(4-5성),C10;C13,주식을 토스 증권으로 입문하여 사용하고 있는 이용자인데 건의 드리고자 합니다. 커뮤니티 공간을 해당주식을 보유한 사람만 글을 작성할수 있도록 해주셨으면 합니다. 주식을 보유하지도 않은 사람들이 잘못된 정보를 올리고 패닉셀을 조장하고 조롱성 글을 쓰는 경우가 허다하여 부정적인 효과가 더 큰것 같습니다. 같은 주식을 보유한 주주들끼리 건전한 소통의 공간으로 만들어주시길 부탁드립니다.,https://play.google.com/store/apps/details?id=viva.republica.toss&hl=ko,2026-07-16
